Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Ghost,@JrBirame2,"https://pbs.twimg.com/media/GNdZdlxWIAA_pnz?format=jpg&name=small, https://pbs.twimg.com/media/GNdZdlxWIAA_pnz?format=jpg&name=small",60,622,55,,,https://twitter.com/JrBirame2,"Plus d’un mois après l’accès au pouvoir de Pastef, comment jugez-vous leurs débuts et leur vision politique ?
-Souveraineté 
-Françafrique
-Diplomatie
-Économie 
-Projet/programme
-Rupture
Merci de répondre avec des arguments  @PR_Diomaye @SonkoOfficiel",,
Sagna,@sagna685,,,20,1,859,https://twitter.com/sagna685/status/1790044274781802861,https://twitter.com/sagna685,Un jugement serait prématuré dans le fond ! Je pense que la prise des informations et déplacement à l'étranger me font croire que le résultat de tout ça n'est pas encore arrivé. Il serait intéressant d'attendre pour un bilan des premiers mois avec une allocution à la nation.,7h,2024-05-13T15:39:47.000Z
Ghost,@JrBirame2,,,6,2,821,https://twitter.com/JrBirame2/status/1790044411981595071,https://twitter.com/JrBirame2,J’ai précisé « leurs débuts »,7h,2024-05-13T15:40:19.000Z
Souleymane B.,@julessou,,1,26,,988,https://twitter.com/julessou/status/1790021571748253883,https://twitter.com/julessou,J’attends 9 ans avant de juger ! Inchallah,9h,2024-05-13T14:09:34.000Z
Ꭺꮮꮖꮐꮻꭱꮖꭲꮋꮇꭼ,@Sunmoon_bluesky,,,8,2,806,https://twitter.com/Sunmoon_bluesky/status/1790050747003834753,https://twitter.com/Sunmoon_bluesky,"Il y a un gros problème de communication. Tu ne peux passer de tout à rien aussi brusquement. Il y a une fanbase qui les défend bec et ongles, mais l’accueil de Paul Kagame et le voyage en C.i chez Ouattara auraient dû être préparés en amont avec une communication expliquant le",7h,2024-05-13T16:05:30.000Z
Patriote Sonkiste,@sonkiste01,,2,37,2,1K,https://twitter.com/sonkiste01/status/1790000235617329500,https://twitter.com/sonkiste01,Satisfaisant tout ce que je déplore ils ont un peu delaissé la com selon moi c est ce qui leur a valu cette adhésion de la majorité des sénégalais il ne faut pas qu il coupe ce lien entre eux et la population quitte à faire des points de presse surtout qd il ya désinformation,10h,2024-05-13T12:44:47.000Z
Moustapha MOHAMADOU,@moh_moustapha,,,13,,513,https://twitter.com/moh_moustapha/status/1790009816850555224,https://twitter.com/moh_moustapha,"Je ne suis pas sénégalais, mais je pense que le Pastef a bien démarré. J'attends avec impatience de voir l'évolution grâce aux réformes internes et aux relations avec les pays de l'AES. 

La jeunesse africaine a besoin de modèles ; espérons que Diomaye-Sonko en sera un.",10h,2024-05-13T13:22:51.000Z
La Révolution Sénégalaise,@RevolutionSN24,,,1,,110,https://twitter.com/RevolutionSN24/status/1790078685724217645,https://twitter.com/RevolutionSN24,"J'aime Diomaye sonko mais la vérité ils ont laissé tomber la diaspora, surtout celle qui souffre pour la cartidentité et le passeport, au consulat senegalais à Madrid on attends une année pour renouveler le passeport, ils font pas lapostille et ils répondent jamais au tel",5h,2024-05-13T17:56:31.000Z
Makhou l’africain,@Makhou2024,,,,,29,https://twitter.com/Makhou2024/status/1790122264702107716,https://twitter.com/Makhou2024,En tout cas Diomaye a commi une bourde en Côte d’Ivoire et il a intérêt de ne pas le refaire comment traître ADO de démocrate,2h,2024-05-13T20:49:41.000Z
REUYE LAMÉGNE,@reuye_lamigne,,,,,49,https://twitter.com/reuye_lamigne/status/1790052250632458454,https://twitter.com/reuye_lamigne,Très tôt pour juger,7h,2024-05-13T16:11:28.000Z
Ghost,@JrBirame2,"https://pbs.twimg.com/media/GNdZdlxWIAA_pnz?format=jpg&name=small, https://pbs.twimg.com/media/GNdZdlxWIAA_pnz?format=jpg&name=small",60,622,55,,,https://twitter.com/JrBirame2,"Plus d’un mois après l’accès au pouvoir de Pastef, comment jugez-vous leurs débuts et leur vision politique ?
-Souveraineté 
-Françafrique
-Diplomatie
-Économie 
-Projet/programme
-Rupture
Merci de répondre avec des arguments  @PR_Diomaye @SonkoOfficiel",,
Sagna,@sagna685,,,20,1,859,https://twitter.com/sagna685/status/1790044274781802861,https://twitter.com/sagna685,Un jugement serait prématuré dans le fond ! Je pense que la prise des informations et déplacement à l'étranger me font croire que le résultat de tout ça n'est pas encore arrivé. Il serait intéressant d'attendre pour un bilan des premiers mois avec une allocution à la nation.,7h,2024-05-13T15:39:47.000Z
L’archiviste de Sonko,@Archiviste52847,,,,,77,https://twitter.com/Archiviste52847/status/1790070685324259431,https://twitter.com/Archiviste52847,Tout est parfait. Cependant il faut accélérer la cadence avant que les voleurs quittent le pays,6h,2024-05-13T17:24:43.000Z
Dioum’S,@DIOUMIN,,1,6,1,294,https://twitter.com/DIOUMIN/status/1790059028195762482,https://twitter.com/DIOUMIN,"En 1 mois, ils ont pris des mesures telles que l'arrêt des lotissements attribués indûment, l'augmentation de la subvention agricole, et la réforme foncière pour favoriser les droits des paysans. Ils ont également retiré des navires de pêche chinois frauduleusement immatriculés",6h,2024-05-13T16:38:24.000Z
Kh@dim Seck,@KhadimS10765038,,,2,,252,https://twitter.com/KhadimS10765038/status/1790011167919726593,https://twitter.com/KhadimS10765038,A un mois je ne pense pas pouvoir juger ça sera hâtif ou mal connaître l’état.,9h,2024-05-13T13:28:13.000Z
Sheriff,@prwgn1yeOq0d4rL,,,1,,230,https://twitter.com/prwgn1yeOq0d4rL/status/1790012815882826101,https://twitter.com/prwgn1yeOq0d4rL,En 1 mois je n ai pas envie d etre trop hatif car g le bon soupcon envers eux neanmoins l acceuil chaleureux au criminel kagame la visite au bounty no 1 ouattarra au detriment de nos frere de l aes et le fait que les criminel d apr se la coule douce me fait mal..,9h,2024-05-13T13:34:46.000Z
Branckoubranco,@BrancoSenegal,,,,,46,https://twitter.com/BrancoSenegal/status/1790058644362387779,https://twitter.com/BrancoSenegal,Ils sont sur la bonne voie et avec la bonne voix.,6h,2024-05-13T16:36:53.000Z
amdy ndiaye,@amdysalamndiaye,,,1,,99,https://twitter.com/amdysalamndiaye/status/1790046744375366032,https://twitter.com/amdysalamndiaye,En tout cas moi pour ce qui concerne je n’ai aucun doute qu’ils vont réussir le plus projet inchallah « Rafet ndiorte » gou reuyyy yatooo la am ci gnome  machallah  seul le Sénégal qui gagne,7h,2024-05-13T15:49:35.000Z
djamil Mbodj,@Tapha__Mbodj,,,,,68,https://twitter.com/Tapha__Mbodj/status/1790026788883599389,https://twitter.com/Tapha__Mbodj,Ils doivent mettre plus de rigueur sur les cas du régime Macky il devait y avoir des arrestations déjà en attendant,8h,2024-05-13T14:30:18.000Z
