Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Koulibaly Kalidou,@kkoulibaly26,"https://pbs.twimg.com/media/FLBQaOyXoAQLCaR?format=jpg&name=small, https://pbs.twimg.com/media/FLBQaOyXoAQLCaR?format=jpg&name=small",12K,167K,1.2K,,,https://twitter.com/kkoulibaly26,"Sénégal 

#KK",,
Omar Sy,@OmarSy,,10,285,1,,https://twitter.com/OmarSy/status/1490783434893000704,https://twitter.com/OmarSy,,"Feb 7, 2022",2022-02-07T20:24:02.000Z
Adjor,@thekingadjor,,,,,,https://twitter.com/thekingadjor/status/1490822771387023363,https://twitter.com/thekingadjor,Okomfo Anokye,"Feb 7, 2022",2022-02-07T23:00:21.000Z
𝐖 𝐈 𝐙 𝐘 𝐁 𝐎 𝐘 ✪,@itsmelwiz,,,,,,https://twitter.com/itsmelwiz/status/1490991116388564993,https://twitter.com/itsmelwiz,Sei un grande,"Feb 8, 2022",2022-02-08T10:09:18.000Z
Prince Kambale M,@Prince_kambale,,,,,,https://twitter.com/Prince_kambale/status/1491424336187899905,https://twitter.com/Prince_kambale,"Dans certains pays, être champion sportif n’est que le début. La plupart continuent de gagner grâce à des endossements, du coaching et la rédaction de livres sur leur expérience","Feb 9, 2022",2022-02-09T14:50:45.000Z
Ibou Wane Junior,@JrLerooy,,,8,,,https://twitter.com/JrLerooy/status/1490779976265830401,https://twitter.com/JrLerooy,Félicitations capitaine,"Feb 7, 2022",2022-02-07T20:10:18.000Z
M'bia faye,@BiaFaye,,,1,,,https://twitter.com/BiaFaye/status/1490780215290875910,https://twitter.com/BiaFaye,,"Feb 7, 2022",2022-02-07T20:11:15.000Z
francesco vitelli,@francescovitel4,,,1,,,https://twitter.com/francescovitel4/status/1490780281426661377,https://twitter.com/francescovitel4,Complimenti Comandante!! Siamo tutti fieri di te e felici per te!!!!!,"Feb 7, 2022",2022-02-07T20:11:31.000Z
Hassan,@Hassansow4,"https://pbs.twimg.com/media/FLBQx5IXIAAsKXi?format=jpg&name=900x900, https://pbs.twimg.com/media/FLBQx5IXIAAsKXi?format=jpg&name=900x900",,66,2,,https://twitter.com/Hassansow4/status/1490780297939542018,https://twitter.com/Hassansow4,Merci capitaine @kkoulibaly26 le peuple est fier de vous,"Feb 7, 2022",2022-02-07T20:11:35.000Z
Sidibé Mohamed,@SidibMo88824910,"https://pbs.twimg.com/media/FLBQ38nXMAYG9Ie?format=jpg&name=small, https://pbs.twimg.com/media/FLBQ38nXMAYG9Ie?format=jpg&name=small",1,123,1,,https://twitter.com/SidibMo88824910/status/1490780401325035525,https://twitter.com/SidibMo88824910,Le Sénégal,"Feb 7, 2022",2022-02-07T20:11:59.000Z
Rosaria,@80AirasoR80,,,17,,,https://twitter.com/80AirasoR80/status/1490780419050115078,https://twitter.com/80AirasoR80,Il nostro gigante buono,"Feb 7, 2022",2022-02-07T20:12:03.000Z
The game,@GoldenGos,,,1,,,https://twitter.com/GoldenGos/status/1490780500436340745,https://twitter.com/GoldenGos,Th emost beautiful picture ever! We are lucky to have you Champion!,"Feb 7, 2022",2022-02-07T20:12:23.000Z
mamoune Sarr,@MamouneSarr4,,,1,,,https://twitter.com/MamouneSarr4/status/1490780510330802177,https://twitter.com/MamouneSarr4,Félicitations capi,"Feb 7, 2022",2022-02-07T20:12:25.000Z
Nas™ Abdul,@nasrudiinabdul,,,1,,,https://twitter.com/nasrudiinabdul/status/1490780514378260487,https://twitter.com/nasrudiinabdul,Congratulations @kkoulibaly26 and #TeamSenegal for winning #CAN2021,"Feb 7, 2022",2022-02-07T20:12:26.000Z
LucidaFollia,@cavallo_susie,,1,3,,,https://twitter.com/cavallo_susie/status/1490780515372343298,https://twitter.com/cavallo_susie,Naples is waiting for you.,"Feb 7, 2022",2022-02-07T20:12:26.000Z
ADO,@drlndngl,,,1,,,https://twitter.com/drlndngl/status/1490780638282231812,https://twitter.com/drlndngl,Onore a te Comandante!,"Feb 7, 2022",2022-02-07T20:12:56.000Z
Anna,@Azzurraluna410,,,2,,,https://twitter.com/Azzurraluna410/status/1490780795740602368,https://twitter.com/Azzurraluna410,Bellissima questa foto,"Feb 7, 2022",2022-02-07T20:13:33.000Z
𝙎𝙩𝙖𝙧𝙠 ♕,@abasskvn01,,4,57,1,,https://twitter.com/abasskvn01/status/1490780847905161216,https://twitter.com/abasskvn01,Wa legui waxal Abdou na guener Salah ci pochâme wa liverpool ngi koy sett,"Feb 7, 2022",2022-02-07T20:13:46.000Z
Awa salihat,@AwajuniorDiouf1,,,1,,,https://twitter.com/AwajuniorDiouf1/status/1490780898706477060,https://twitter.com/AwajuniorDiouf1,,"Feb 7, 2022",2022-02-07T20:13:58.000Z
Diaby Aboubacry,@DiabyAboubacry,,1,6,,,https://twitter.com/DiabyAboubacry/status/1490780939038953472,https://twitter.com/DiabyAboubacry,Fière depuis le Bénin,"Feb 7, 2022",2022-02-07T20:14:07.000Z
Mamadou BALDE,@Mamadou57053642,,,2,,,https://twitter.com/Mamadou57053642/status/1490781043175137281,https://twitter.com/Mamadou57053642,Sentiment de fierté,"Feb 7, 2022",2022-02-07T20:14:32.000Z
فيصل,@Faisalmozaini_,,,,,,https://twitter.com/Faisalmozaini_/status/1490780023879614470,https://twitter.com/Faisalmozaini_,,"Feb 7, 2022",2022-02-07T20:10:29.000Z
Sebastian,@ForzaSebastian_,,,,,,https://twitter.com/ForzaSebastian_/status/1490780046923124740,https://twitter.com/ForzaSebastian_,YESSS,"Feb 7, 2022",2022-02-07T20:10:35.000Z
Daniele Tarantino,@DanieleTarant16,,,,,,https://twitter.com/DanieleTarant16/status/1490780077151469573,https://twitter.com/DanieleTarant16,,"Feb 7, 2022",2022-02-07T20:10:42.000Z
DANIELE FIUME,@DANIELEFIUME,,,,,,https://twitter.com/DANIELEFIUME/status/1490780083744817155,https://twitter.com/DANIELEFIUME,Sei un muro,"Feb 7, 2022",2022-02-07T20:10:43.000Z
PMD,@dioufyfire5,,,,,,https://twitter.com/dioufyfire5/status/1490780108021506048,https://twitter.com/dioufyfire5,Capi fier de toi,"Feb 7, 2022",2022-02-07T20:10:49.000Z
𝑴𝒊𝒄𝒉𝒆𝒍𝒆𝟏𝟗𝟐𝟔,@majewsky2000,,,,,,https://twitter.com/majewsky2000/status/1490780177680449539,https://twitter.com/majewsky2000,GRANDE KALIDOU,"Feb 7, 2022",2022-02-07T20:11:06.000Z
Adams Mustapha,@adaerms,,,,,,https://twitter.com/adaerms/status/1490780311122321410,https://twitter.com/adaerms,Congratulations Champions,"Feb 7, 2022",2022-02-07T20:11:38.000Z
Davide__Russo,@davideru94,,,,,,https://twitter.com/davideru94/status/1490780314737782796,https://twitter.com/davideru94,Ora porta lo scudetto a napoli,"Feb 7, 2022",2022-02-07T20:11:39.000Z
Salvatore Travaglino,@sotert77,,,1,,,https://twitter.com/sotert77/status/1490781072669425665,https://twitter.com/sotert77,Complimenti Comandante! Siamo felici per te e per tutto il Senegal,"Feb 7, 2022",2022-02-07T20:14:39.000Z
Zayn Youssef,@ZaynYoussef2,,1,25,,,https://twitter.com/ZaynYoussef2/status/1490781128499896323,https://twitter.com/ZaynYoussef2,"Congratulations from egypt 
you deserve it","Feb 7, 2022",2022-02-07T20:14:53.000Z
Sylvie Faye,@Faye5Sylvie,,,5,,,https://twitter.com/Faye5Sylvie/status/1490781345408294917,https://twitter.com/Faye5Sylvie,Merci beaucoup mes champions. Dieu vous garde,"Feb 7, 2022",2022-02-07T20:15:44.000Z
