Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Macky Sall,@Macky_Sall,"https://pbs.twimg.com/media/GHk5caVW8AAQqSU?format=jpg&name=900x900, https://pbs.twimg.com/media/GHk5caVW8AAQqSU?format=jpg&name=900x900",755,2.8K,1.5K,,,https://twitter.com/Macky_Sall,"Je condamne fermement cet acte de violence lâche et inexcusable contre la journaliste Maimouna Ndour Faye. La liberté de la presse est un droit fondamental qui doit être protégé et respecté en toutes circonstances. Aucune forme de violence ne saurait être tolérée, et les responsables de cette agression devront répondre de leurs actes devant la justice.

Je tiens à lui exprimer tout mon soutien et réitère mon engagement à garantir un environnement sûr et serein pour tous les professionnels des médias dans notre pays.",,
CHEIKH SENE,@CheikhSENE03,,,7,1,7.4K,https://twitter.com/CheikhSENE03/status/1763504221700182359,https://twitter.com/CheikhSENE03,Prompt rétablissement à elle,Mar 1,2024-03-01T09:59:05.000Z
Plan Sénégal Émergent #PSE,@PlanPse,,1,17,5,9.3K,https://twitter.com/PlanPse/status/1763504744197214515,https://twitter.com/PlanPse,"En tant que société, nous devons être unis dans notre condamnation de la violence contre les journalistes. L'attaque contre Maimouna Ndour Faye est une attaque contre nous tous. Nous devons rester fermes dans notre défense de la liberté de la presse. #Solidarité #Justice",Mar 1,2024-03-01T10:01:10.000Z
Le Sénégal Modèle,@senegal_modele,,1,4,1,6.1K,https://twitter.com/senegal_modele/status/1763505977460982217,https://twitter.com/senegal_modele,"Soutien total à Maimouna Ndour Faye, victime d'une attaque vicieuse devant chez elle. Nous ne devons jamais permettre  que la terreur règne au Sénégal ! #SolidaritéAvecMaimouna #Justice",Mar 1,2024-03-01T10:06:04.000Z
Le Sénégal Modèle,@senegal_modele,https://pbs.twimg.com/ext_tw_video_thumb/1763508929705742337/pu/img/ozM5uov6VQfUprvh.jpg,4,20,6,7K,https://twitter.com/senegal_modele/status/1763508968402370957,https://twitter.com/senegal_modele,Nous refusons de permettre que la terreur devienne la norme! L'attaque contre Maimouna Ndour Faye est un acte de lâcheté. Les responsables doivent être tenus responsables de leurs actions. #JusticePourMaimouna #NonALaViolence,Mar 1,2024-03-01T10:17:57.000Z
Macky Sall,@Macky_Sall,"https://pbs.twimg.com/media/GHk5caVW8AAQqSU?format=jpg&name=900x900, https://pbs.twimg.com/media/GHk5caVW8AAQqSU?format=jpg&name=900x900",755,2.8K,1.5K,,,https://twitter.com/Macky_Sall,"Je condamne fermement cet acte de violence lâche et inexcusable contre la journaliste Maimouna Ndour Faye. La liberté de la presse est un droit fondamental qui doit être protégé et respecté en toutes circonstances. Aucune forme de violence ne saurait être tolérée, et les responsables de cette agression devront répondre de leurs actes devant la justice.

Je tiens à lui exprimer tout mon soutien et réitère mon engagement à garantir un environnement sûr et serein pour tous les professionnels des médias dans notre pays.",,
.,@plokijuh9876512,"https://pbs.twimg.com/media/GHlBLkmXAAAb9l7?format=jpg&name=small, https://pbs.twimg.com/media/GHlBLkmXAAAb9l7?format=jpg&name=small",68,826,15,32K,https://twitter.com/plokijuh9876512/status/1763512403298222171,https://twitter.com/plokijuh9876512,Macky sall qui essaye d’apprendre au Sénégalais c’est quoi la liberté de la presse,Mar 1,2024-03-01T10:31:36.000Z
CHEIKH SENE,@CheikhSENE03,"https://pbs.twimg.com/media/GHlCN35W0AAdhjN?format=jpg&name=small, https://pbs.twimg.com/media/GHlCN35W0AAdhjN?format=jpg&name=small",2,17,1,3.7K,https://twitter.com/CheikhSENE03/status/1763513541724700909,https://twitter.com/CheikhSENE03,#JesuisMaïmounaNdourFaye,Mar 1,2024-03-01T10:36:07.000Z
ali dabo,@alidabo58,,18,231,13,21K,https://twitter.com/alidabo58/status/1763520972504658411,https://twitter.com/alidabo58,"Nous condamnons la violence sous toutes ses formes et prompt rétablissement à Maimouna Ndour. Mais Monsieur le president pourquoi toi et pratiquement beaucoup de membres de ton gouvernement êtes agités à ce point suite à cette agression ? Fulbert Sambou, Didier Badji, Mariama",Mar 1,2024-03-01T11:05:39.000Z
Akandijack Badji-Ba-Sène,@Akandijack_cHb,"https://pbs.twimg.com/media/GHlJS3yXUAATw3k?format=jpg&name=small, https://pbs.twimg.com/media/GHlJS3yXUAATw3k?format=jpg&name=small",8,35,,9.8K,https://twitter.com/Akandijack_cHb/status/1763521915467997400,https://twitter.com/Akandijack_cHb,"Soutien à tous les journalistes et à celle qui a été agressée...
Mais refus principiel d'accepter l'indignation sélective SEM @Macky_Sall ...
Car voilà que l'équation de votre amnistie commandée vous est renvoyée M. le futur ex Président !

N'est-ce pas que l'auteur de cet acte",Mar 1,2024-03-01T11:09:23.000Z
