Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Macky Sall,@Macky_Sall,"https://pbs.twimg.com/media/GLZJ0_xWoAAmga9?format=jpg&name=small, https://pbs.twimg.com/media/GLZJ0_xWoAAmga9?format=jpg&name=small",112,2.5K,367,,,https://twitter.com/Macky_Sall,,,
Raamaa,@lagobrune,"https://pbs.twimg.com/media/GLZR4VuaQAElSZy?format=jpg&name=small, https://pbs.twimg.com/media/GLZR4VuaQAElSZy?format=jpg&name=small",35,227,13,10K,https://twitter.com/lagobrune/status/1780700738748027228,https://twitter.com/lagobrune,Dear sir @MathiasCormann the guy next to you is a bloody murderer. See below the victims (innocents protesters),Apr 17,2024-04-17T20:51:54.000Z
CHEIKH SENE,@CheikhSENE03,,,6,1,4.7K,https://twitter.com/CheikhSENE03/status/1780692126017405373,https://twitter.com/CheikhSENE03,,Apr 17,2024-04-17T20:17:41.000Z
KHALIL,@BasseneIbra,,2,126,17,11K,https://twitter.com/BasseneIbra/status/1780711431111143509,https://twitter.com/BasseneIbra,Le pire président de l’histoire du Sénégal,Apr 17,2024-04-17T21:34:23.000Z
3DMetaStudio,@3DMetaStudio,,,,,44,https://twitter.com/3DMetaStudio/status/1780817972237357088,https://twitter.com/3DMetaStudio,Les haineux dans les commentaires,Apr 18,2024-04-18T04:37:45.000Z
Ndèye Name DIOUF- GOD IS ONE,@binoussou,,,,,8,https://twitter.com/binoussou/status/1786832862169211335,https://twitter.com/binoussou,Plein succès pour tes nouvelles fonctions. Que Dieu vous garde @Macky_Sall Nous sommes en attente de votre retour.,May 4,2024-05-04T18:58:46.000Z
Annie Chrystel Limbourg Iwenga,@IwengaAnnie,,,10,,751,https://twitter.com/IwengaAnnie/status/1780699282955522516,https://twitter.com/IwengaAnnie,Excellente continuation Monsieur le Président @Macky_Sall.,Apr 17,2024-04-17T20:46:07.000Z
abdoulaye,@abdou_Laye44,,,,,107,https://twitter.com/abdou_Laye44/status/1780950089520889987,https://twitter.com/abdou_Laye44,Macky sall criminelle,Apr 18,2024-04-18T13:22:44.000Z
Manuel,@Manuel48297557,,,,,7,https://twitter.com/Manuel48297557/status/1780968015749845214,https://twitter.com/Manuel48297557,,Apr 18,2024-04-18T14:33:58.000Z
prince diedhiou,@PrinceDiedhiou,,,,,17,https://twitter.com/PrinceDiedhiou/status/1780876016065417565,https://twitter.com/PrinceDiedhiou,Rentre tes nwr comme ns les toubap Sont dmrm,Apr 18,2024-04-18T08:28:23.000Z
prince diedhiou,@PrinceDiedhiou,,,,,19,https://twitter.com/PrinceDiedhiou/status/1780876122659361109,https://twitter.com/PrinceDiedhiou,Il faut revenir au pays la prison t'attend,Apr 18,2024-04-18T08:28:49.000Z
Macky Sall,@Macky_Sall,"https://pbs.twimg.com/media/GLZJ0_xWoAAmga9?format=jpg&name=small, https://pbs.twimg.com/media/GLZJ0_xWoAAmga9?format=jpg&name=small",112,2.5K,367,,,https://twitter.com/Macky_Sall,,,
Ahmad Bidiar,@Dr_Ahmad_Bidiar,,,7,,441,https://twitter.com/Dr_Ahmad_Bidiar/status/1780906286730653863,https://twitter.com/Dr_Ahmad_Bidiar,"Le meilleurs président de tous les temps.
Il a vite compris qu'il y a une autre vie après celle de président.
Fin de mission le 02 et reprise du travail le 03 Avril pr une nouvelle mission. Il faut le faire!
C'est le mieux armé pour diriger ce monde en turbulences !
Best,",Apr 18,2024-04-18T10:28:41.000Z
Traore Zoumana,@ramzylegolba,,,4,1,291,https://twitter.com/ramzylegolba/status/1780846393101295873,https://twitter.com/ramzylegolba,"Merci d'avoir rendu célèbre ousmane sonko.
Merci d'être parti du Sénégal 
Stp ne reviens plus 
Nous sommes déçu de toi",Apr 18,2024-04-18T06:30:41.000Z
mamadou diatta,@mamadou83521475,"https://pbs.twimg.com/media/GLaEC9bWEAAUcsb?format=jpg&name=small, https://pbs.twimg.com/media/GLaEC9bWEAAUcsb?format=jpg&name=small",,1,1,79,https://twitter.com/mamadou83521475/status/1780755892012515383,https://twitter.com/mamadou83521475,Justice pour les victimes de Macky Sall.,Apr 18,2024-04-18T00:31:04.000Z
AMADOU BA PR 2029,@HadjaDi2,,,12,,565,https://twitter.com/HadjaDi2/status/1780707493859209248,https://twitter.com/HadjaDi2,"Merci Excellence,  bonne chance",Apr 17,2024-04-17T21:18:45.000Z
Deug rek rek,@RekDeugRek,,,3,,137,https://twitter.com/RekDeugRek/status/1780839775064269215,https://twitter.com/RekDeugRek,Mr Cormann cet individu à côté de vous est un délinquant. Vous devriez mieux préserver votre image car la jeunesse Africaine vous voit. Se mettre en photo avec le pire meurtrier de la jeunesse Sénégalaise est une honte.,Apr 18,2024-04-18T06:04:23.000Z
Sombéle Kama,@SombeleK,,1,37,,2.2K,https://twitter.com/SombeleK/status/1780693904918274364,https://twitter.com/SombeleK,"Tôt où tard tu rendras compte de tout le mal que tu as commis au Sénégal . La mort de Didier Badji , Filbert sambou , François macabou et plus de 80 jeunes innocents. Tu as détourné nos ressources l'or , le pétrole j'en passe. Nous n'oublierons jamais",Apr 17,2024-04-17T20:24:45.000Z
Djido,@DogueDjibril,,,6,,199,https://twitter.com/DogueDjibril/status/1780904552406876337,https://twitter.com/DogueDjibril,Bonne chance dans vos nouvelles missions. Tu nous manques déjà..un retour aux affaires n'est pas interdits,Apr 18,2024-04-18T10:21:47.000Z
Konaté Djibril,@KonatDjibril15,,1,6,,419,https://twitter.com/KonatDjibril15/status/1780704498060779571,https://twitter.com/KonatDjibril15,"Assassin
Criminal 
Attentäter 
قاتل 
암살자 
刺客
Sicarius @Macky_Sall  que tu es",Apr 17,2024-04-17T21:06:50.000Z
Birame Faye,@biamijuf,"https://pbs.twimg.com/media/GLZOSYxakAEIJZ7?format=jpg&name=small, https://pbs.twimg.com/media/GLZOSYxakAEIJZ7?format=jpg&name=small",,12,1,503,https://twitter.com/biamijuf/status/1780696787323420822,https://twitter.com/biamijuf,Ndaw lou rëyy @Macky_Sall Mbaye sy Mansour et Bassirou Spirituel ont  rencontré et ont  remis des présents  à Bassirou Temporel,Apr 17,2024-04-17T20:36:12.000Z
اصلح اءمورى,@Senesaalih,"https://pbs.twimg.com/media/GLZM5QYa0AA0jWT?format=jpg&name=360x360, https://pbs.twimg.com/media/GLZM5QYa0AA0jWT?format=jpg&name=360x360",4,34,1,2.3K,https://twitter.com/Senesaalih/status/1780695315953393709,https://twitter.com/Senesaalih,,Apr 17,2024-04-17T20:30:21.000Z
diaga dieye,@diagadieye1,,,,,254,https://twitter.com/diagadieye1/status/1780730476774281570,https://twitter.com/diagadieye1,Miss my Presi,Apr 17,2024-04-17T22:50:04.000Z
ndiaga faye,@fayend1amf,,,1,,11,https://twitter.com/fayend1amf/status/1785014333275300106,https://twitter.com/fayend1amf,"Vous êtes merdique monsieur, vous avez sacrifié le peuple Sénégalais. Vous devez être poursuivie pour haute trahison par rapport a tous ces scandales qui surfacent jour après jour. Pire président, vous battre sera difficile dans le future. Bon débarras!",Apr 29,2024-04-29T18:32:35.000Z
