Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Koulibaly Kalidou,@kkoulibaly26,"https://pbs.twimg.com/media/GE_1VrxWIAARWOZ?format=jpg&name=small, https://pbs.twimg.com/media/GE_1VrxWIAARWOZ?format=jpg&name=small",1.2K,9.2K,368,,,https://twitter.com/kkoulibaly26,"#AFCON2023   
#KK",,
Tales,@nigertale,,,,,20,https://twitter.com/nigertale/status/1751889306606543172,https://twitter.com/nigertale,CSO,Jan 29,2024-01-29T08:45:33.000Z
IY7Y7I .,@yOYo_sOs,,,1,,520,https://twitter.com/yOYo_sOs/status/1751891098820399322,https://twitter.com/yOYo_sOs,goood luck KK we hope you win the Cup,Jan 29,2024-01-29T08:52:41.000Z
HL66,@Hl1957_16,,,1,,341,https://twitter.com/Hl1957_16/status/1751925270766846191,https://twitter.com/Hl1957_16,,Jan 29,2024-01-29T11:08:28.000Z
HL66,@Hl1957_16,,,,,372,https://twitter.com/Hl1957_16/status/1751925331223580925,https://twitter.com/Hl1957_16,اللهم لا تجعلنا من الغافلين عن ذكرك,Jan 29,2024-01-29T11:08:42.000Z
3zo,@3zo_m7nk,,,,,15,https://twitter.com/3zo_m7nk/status/1751950590777692215,https://twitter.com/3zo_m7nk,Good luck kouliiii,Jan 29,2024-01-29T12:49:05.000Z
هلالي ذهبي,@mu_mu_1_,,,1,,246,https://twitter.com/mu_mu_1_/status/1751945867936841837,https://twitter.com/mu_mu_1_,,Jan 29,2024-01-29T12:30:19.000Z
iwe11y |,@WAltlhy,"https://pbs.twimg.com/media/GFARq9jXoAAG3xA?format=jpg&name=small, https://pbs.twimg.com/media/GFARq9jXoAAG3xA?format=jpg&name=small",,2,,130,https://twitter.com/WAltlhy/status/1751919687430975675,https://twitter.com/WAltlhy,"We miss you today at the opening of our stadium in an important match. Of course, the most important thing is your country’s team. Good luck, my friend. We are waiting for the clean sheet today",Jan 29,2024-01-29T10:46:17.000Z
Tales,@nigertale,,,,,20,https://twitter.com/nigertale/status/1751889306606543172,https://twitter.com/nigertale,CSO,Jan 29,2024-01-29T08:45:33.000Z
IY7Y7I .,@yOYo_sOs,,,1,,520,https://twitter.com/yOYo_sOs/status/1751891098820399322,https://twitter.com/yOYo_sOs,goood luck KK we hope you win the Cup,Jan 29,2024-01-29T08:52:41.000Z
HL66,@Hl1957_16,,,1,,341,https://twitter.com/Hl1957_16/status/1751925270766846191,https://twitter.com/Hl1957_16,,Jan 29,2024-01-29T11:08:28.000Z
FATIMA|,@hil1_f,,,2,,972,https://twitter.com/hil1_f/status/1751892935388569667,https://twitter.com/hil1_f,"المنتخب الافضل في البطولة 
بالتوفيق",Jan 29,2024-01-29T08:59:59.000Z
القــرني,@mos_1400,,,,,7,https://twitter.com/mos_1400/status/1751929378110378254,https://twitter.com/mos_1400,بالتوفيق ياشيخ,Jan 29,2024-01-29T11:24:47.000Z
فهــد ★,@_FY20,,,1,,1K,https://twitter.com/_FY20/status/1751889147843723719,https://twitter.com/_FY20,Good luck KK,Jan 29,2024-01-29T08:44:56.000Z
فيونة,@toffo85,,,1,,749,https://twitter.com/toffo85/status/1751904833227870339,https://twitter.com/toffo85,Good luck to the best defender in the world,Jan 29,2024-01-29T09:47:15.000Z
алхилал,@alhilal_go,,,3,,1.2K,https://twitter.com/alhilal_go/status/1751890605368590403,https://twitter.com/alhilal_go,Good luck our defender,Jan 29,2024-01-29T08:50:43.000Z
KHALID,@saudi_ana,,,,,173,https://twitter.com/saudi_ana/status/1752104883807732102,https://twitter.com/saudi_ana,Hard luck  you was the best,Jan 29,2024-01-29T23:02:11.000Z
"bikr,",@mt6r0,,,1,,419,https://twitter.com/mt6r0/status/1751915861567234059,https://twitter.com/mt6r0,بالتوفيق,Jan 29,2024-01-29T10:31:05.000Z
لحظات,@ab433e,https://pbs.twimg.com/tweet_video_thumb/GFABXMeXwAA4k5D.jpg,1,9,,1.3K,https://twitter.com/ab433e/status/1751901762259198123,https://twitter.com/ab433e,كولي,Jan 29,2024-01-29T09:35:03.000Z
𝐅𝐀𝐈𝐒𝐀𝐋,@Fd__91,,1,15,,2K,https://twitter.com/Fd__91/status/1751892070040519007,https://twitter.com/Fd__91,"You really wanted to be with us at the opening of our stadium but the most important thing is to represent your country
We are with you and we trust you
 May God protect you from injuries",Jan 29,2024-01-29T08:56:32.000Z
أحمد الحربي,@1blo411,,,2,,998,https://twitter.com/1blo411/status/1751896027878096936,https://twitter.com/1blo411,Good luck our defender,Jan 29,2024-01-29T09:12:16.000Z
Lord Fy,@Lord_Fy,,,,,25,https://twitter.com/Lord_Fy/status/1751916772964319493,https://twitter.com/Lord_Fy,Good Luck,Jan 29,2024-01-29T10:34:42.000Z
خالد بن سلطان,@khaleds21085436,,,,,32,https://twitter.com/khaleds21085436/status/1751915820920271283,https://twitter.com/khaleds21085436,بالتوفيق ياخاليدو,Jan 29,2024-01-29T10:30:55.000Z
Abdou Mané Dème,@AbdoulayeDme3,,,,,22,https://twitter.com/AbdoulayeDme3/status/1751935438569209994,https://twitter.com/AbdoulayeDme3,Good luck Team,Jan 29,2024-01-29T11:48:52.000Z
𝐅𝐀𝐈𝐒𝐀𝐋,@Fd__91,,1,15,,2K,https://twitter.com/Fd__91/status/1751892070040519007,https://twitter.com/Fd__91,"You really wanted to be with us at the opening of our stadium but the most important thing is to represent your country
We are with you and we trust you
 May God protect you from injuries",Jan 29,2024-01-29T08:56:32.000Z
أحمد الحربي,@1blo411,,,2,,998,https://twitter.com/1blo411/status/1751896027878096936,https://twitter.com/1blo411,Good luck our defender,Jan 29,2024-01-29T09:12:16.000Z
Lord Fy,@Lord_Fy,,,,,25,https://twitter.com/Lord_Fy/status/1751916772964319493,https://twitter.com/Lord_Fy,Good Luck,Jan 29,2024-01-29T10:34:42.000Z
خالد بن سلطان,@khaleds21085436,,,,,32,https://twitter.com/khaleds21085436/status/1751915820920271283,https://twitter.com/khaleds21085436,بالتوفيق ياخاليدو,Jan 29,2024-01-29T10:30:55.000Z
Abdou Mané Dème,@AbdoulayeDme3,,,,,22,https://twitter.com/AbdoulayeDme3/status/1751935438569209994,https://twitter.com/AbdoulayeDme3,Good luck Team,Jan 29,2024-01-29T11:48:52.000Z
Shérif Aidara,@AidaraSherif,"https://pbs.twimg.com/ext_tw_video_thumb/1752308226572369920/pu/img/xTzdaplRsBlrRUk8.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1752308226572369920/pu/img/xTzdaplRsBlrRUk8.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1752308226572369920/pu/img/xTzdaplRsBlrRUk8.jpg",,,,16,https://twitter.com/AidaraSherif/status/1752532271259603280,https://twitter.com/AidaraSherif,"FOOTBALL 
VOICI UNE NOUVELLE PÉPITE D'OR #Senegal-aise QUI A REJOINT L'ESPAGNE: AMADOU 'DIEGO' LY.
Le voici dans ses œuvres. Vitesse, puissance et précision.
Il manque à cette nouvelle génération de talentueux un coach expérimenté !
CI KANAAM REK
#FSF @Fsfofficielle #CAN2023",Jan 31,2024-01-31T03:20:28.000Z
khalifa Wade,@KhalifaWade,,,1,,43,https://twitter.com/KhalifaWade/status/1751921044162523150,https://twitter.com/KhalifaWade,Les sénégalais sont avec vous,Jan 29,2024-01-29T10:51:40.000Z
أبو عبدالله (46),@Raghboo,,,,10,30,https://twitter.com/Raghboo/status/1752163322621722772,https://twitter.com/Raghboo,"You are the main reason why Senegal lost. In the second half, you were terrible.",Jan 30,2024-01-30T02:54:24.000Z
Radoi,@northerman911,,,,,11,https://twitter.com/northerman911/status/1752086905221444053,https://twitter.com/northerman911,مشتاقين لك,Jan 29,2024-01-29T21:50:45.000Z
ًََْٓٓامير محمد,@Amir20M20,,,1,,41,https://twitter.com/Amir20M20/status/1751894975476854970,https://twitter.com/Amir20M20,,Jan 29,2024-01-29T09:08:05.000Z
حمــود,@Hamoud_ot5,,,,,11,https://twitter.com/Hamoud_ot5/status/1752044058594152492,https://twitter.com/Hamoud_ot5,كولي,Jan 29,2024-01-29T19:00:29.000Z
Ba Alassane,@BaAlassane1965,,,,,2,https://twitter.com/BaAlassane1965/status/1752048825097736488,https://twitter.com/BaAlassane1965,"NDam reck , inchaAllah",Jan 29,2024-01-29T19:19:26.000Z
محمد الحريصي,@mo203012,,,,,20,https://twitter.com/mo203012/status/1752038759544041576,https://twitter.com/mo203012,We wish you victory and the championship,Jan 29,2024-01-29T18:39:26.000Z
صديق بيه,@sadiq_albih,,,1,,20,https://twitter.com/sadiq_albih/status/1752044721717793010,https://twitter.com/sadiq_albih,,Jan 29,2024-01-29T19:03:07.000Z
عالمي دون ترشيح,@homoud131,,,,,3,https://twitter.com/homoud131/status/1752048059444244854,https://twitter.com/homoud131,Good luck man,Jan 29,2024-01-29T19:16:23.000Z
NewWorldOrder2030,@Mednight00,,,,,13,https://twitter.com/Mednight00/status/1751913016616993167,https://twitter.com/Mednight00,,Jan 29,2024-01-29T10:19:46.000Z
Kill Moves,@SambouEdson,,,,,101,https://twitter.com/SambouEdson/status/1751890199037059398,https://twitter.com/SambouEdson,Bonne chance gaïndé ndam rek,Jan 29,2024-01-29T08:49:06.000Z
Djibril Diaw Galsen,@DjibrilDiaw5,,,,,97,https://twitter.com/DjibrilDiaw5/status/1751888613913059486,https://twitter.com/DjibrilDiaw5,Gagner walla Gagner,Jan 29,2024-01-29T08:42:48.000Z
Sagna Rémi,@RemiSagna,,,,,34,https://twitter.com/RemiSagna/status/1752001069624770650,https://twitter.com/RemiSagna,"Pas de peur ni rien , on reste serein on est les lions de la teranga montrons leur notre hospitalité à nous",Jan 29,2024-01-29T16:09:40.000Z
AFNAN.,@AFNAN1Ix,,,,,5,https://twitter.com/AFNAN1Ix/status/1751980153649983542,https://twitter.com/AFNAN1Ix,Good luck,Jan 29,2024-01-29T14:46:33.000Z
,@hajrka,,,,,10,https://twitter.com/hajrka/status/1751912840900833543,https://twitter.com/hajrka,Good luck,Jan 29,2024-01-29T10:19:04.000Z
David_ alwilidi,@David_alwilidi,,,,,10,https://twitter.com/David_alwilidi/status/1751899844082315715,https://twitter.com/David_alwilidi,,Jan 29,2024-01-29T09:27:26.000Z
Oumar Badiaga أبا عبدالله عمر بجاغا,@OumarBadiaga3,,,,,44,https://twitter.com/OumarBadiaga3/status/1751896201056698480,https://twitter.com/OumarBadiaga3,Bonne chance,Jan 29,2024-01-29T09:12:57.000Z
ＲＥＸ,@ill_ile,,,,,20,https://twitter.com/ill_ile/status/1751897235007177211,https://twitter.com/ill_ile,,Jan 29,2024-01-29T09:17:04.000Z
Mr Lovoo,@JosMas10,,,,,11,https://twitter.com/JosMas10/status/1751938973264433623,https://twitter.com/JosMas10,Boko longwaaa,Jan 29,2024-01-29T12:02:55.000Z
JOEL,@joel_tagona,,,,,13,https://twitter.com/joel_tagona/status/1751900960140521604,https://twitter.com/joel_tagona,Good luck!,Jan 29,2024-01-29T09:31:52.000Z
F.M,@fahad10_mo,,,,,14,https://twitter.com/fahad10_mo/status/1751971663976051046,https://twitter.com/fahad10_mo,Good luck my love,Jan 29,2024-01-29T14:12:49.000Z
×,@ARISAKA1002,,,,,2,https://twitter.com/ARISAKA1002/status/1751996263929725100,https://twitter.com/ARISAKA1002,,Jan 29,2024-01-29T15:50:34.000Z
