Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Ousmane Sonko,@SonkoOfficiel,https://pbs.twimg.com/amplify_video_thumb/1662594069531443204/img/rwvotvnla1pIZXQ7.jpg,1.9K,8K,322,,,https://twitter.com/SonkoOfficiel,"Caravane de la liberté: Encore le tyran @Macky_Sall dans ses œuvres dignes d’une dictature.

#Senegal 
#freesenegal",,
Driss Junior,@driss_diallo,,,2,,170,https://twitter.com/driss_diallo/status/1662812094448783360,https://twitter.com/driss_diallo,Manipulation toujours et encore pour toujours !!! Thiey ROS !,"May 28, 2023",2023-05-28T13:24:31.000Z
Faye Lamine,@FayeLam81158924,,,3,,327,https://twitter.com/FayeLam81158924/status/1662598865294376960,https://twitter.com/FayeLam81158924,Vous êtes un homme très courageux wolahi Que Dieu vous protège j’admire votre courage et votre détermination.,"May 27, 2023",2023-05-27T23:17:13.000Z
Pa abdoulaye,@papeabdoulaye6,,,2,,138,https://twitter.com/papeabdoulaye6/status/1662780411158691840,https://twitter.com/papeabdoulaye6,"Pire que toi ousmane sonko n’existe pas . Tout le temps en train de te victimiser  , da nga meuneu fen , doule rek mais tu sauras que toi et tes partisans ne pourraient pas semer la zizanie dans ce pays. Des hommes armés ont été découverts hier dans ton cortège . Chien","May 28, 2023",2023-05-28T11:18:37.000Z
Pa abdoulaye,@papeabdoulaye6,,,2,1,112,https://twitter.com/papeabdoulaye6/status/1662780978241191942,https://twitter.com/papeabdoulaye6,Vous n’êtes pas au dessus de nos institutions pour faire ce que vous voulez dans ce pays. Sale chien . Rien que la souffrance que tu fais à ta 1ere femme peut te détruire. Montre aux sénégalais ton vrai visage c’est mieux . Domeram bi nga done,"May 28, 2023",2023-05-28T11:20:52.000Z
Macodé Sall,@SallMacode,,,4,,70,https://twitter.com/SallMacode/status/1662783869437767680,https://twitter.com/SallMacode,"Oussou arrête de faire le malin.les efforts que tu es entrain fouttre dans désordre , tu pouvais aller répondre à la justice été plus simple ,tu es accusé de viol et menace de mort, tu as peur d'affronter Adji, c'est toi qui réclamer justice non..?alors il faut pa ns ambeter","May 28, 2023",2023-05-28T11:32:22.000Z
Modou Khaly Gassama,@gassama_khaly,,,1,1,220,https://twitter.com/gassama_khaly/status/1662604275921436673,https://twitter.com/gassama_khaly,Yalla nalla yalla Sam May la fane wu guddu ak wér  yalla nañu Yalla May katan ak fit wuñu guñu xeexë ak Macky Sall,"May 27, 2023",2023-05-27T23:38:43.000Z
Gayecheikhouomar,@Gayecheikhouom1,,,5,,787,https://twitter.com/Gayecheikhouom1/status/1662594910472601608,https://twitter.com/Gayecheikhouom1,Yalnala sounou borom Samm !,"May 27, 2023",2023-05-27T23:01:30.000Z
SenOM13,@Sen_OM13,,1,16,7,2K,https://twitter.com/Sen_OM13/status/1662595485117415425,https://twitter.com/Sen_OM13,Répondez à Adji Sarr au lieu de faire votre cirque. Vous ne nous ferez pas oublier vos actes ignobles.,"May 27, 2023",2023-05-27T23:03:47.000Z
Aliou Bagayoko,@aliou_bagayoko,,,2,,127,https://twitter.com/aliou_bagayoko/status/1662611991163183104,https://twitter.com/aliou_bagayoko,Force à vous,"May 28, 2023",2023-05-28T00:09:23.000Z
