Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Jamal (BMF),@beneboy221,,,7,,933,https://twitter.com/beneboy221/status/1672341510690316288,https://twitter.com/beneboy221,"Fallait pas, t'es finito Mec. Essai de gérer ce petit temps qui te reste ci #Ndiékk au cas où on va...","Jun 23, 2023",2023-06-23T20:31:01.000Z
Coumba Diallo,@CoumbaD61518219,,,1,,40,https://twitter.com/CoumbaD61518219/status/1672342519051345920,https://twitter.com/CoumbaD61518219,Selon les informations reçues de la TFM les semences reçues par les paysans sont insuffisantes et de mauvaise qualité malgré les fonds mis en http://place.il urge de corriger sinon les recoltes ne seront pas bonne si c'est le cas.,"Jun 23, 2023",2023-06-23T20:35:01.000Z
Un Sénégalais,@nomadjiolof,,,1,,162,https://twitter.com/nomadjiolof/status/1672343860993744898,https://twitter.com/nomadjiolof,''je me réjouis'' ''je me réjouis'' ''je me réjouis'' ''je me réjouis'' do wut bénén phrase xana ohhhh,"Jun 23, 2023",2023-06-23T20:40:21.000Z
Djib’riil,@Seydinaa98,"https://pbs.twimg.com/media/FzVcBSOWcAIrCGj?format=jpg&name=small, https://pbs.twimg.com/media/FzVcBSOWcAIrCGj?format=jpg&name=small",2.0,7,,989,https://twitter.com/Seydinaa98/status/1672344020545159169,https://twitter.com/Seydinaa98,Kou guiss intrus bi ?,"Jun 23, 2023",2023-06-23T20:40:59.000Z
MO,@believe_momo,,,1,,8,https://twitter.com/believe_momo/status/1672344038156955648,https://twitter.com/believe_momo,Hâte de voir ta fin,"Jun 23, 2023",2023-06-23T20:41:04.000Z
Mamadou Ndiaye,@mamdou1,,,,,78,https://twitter.com/mamdou1/status/1672328125429035008,https://twitter.com/mamdou1,Les meurtres de citoyens sénégalais ne resteront pas impunis,"Jun 23, 2023",2023-06-23T19:37:50.000Z
Lassana Lass,@LAS176,,,,,26,https://twitter.com/LAS176/status/1672330402088747008,https://twitter.com/LAS176,"""SALL"" Dictacteur!!","Jun 23, 2023",2023-06-23T19:46:52.000Z
J! B0¥ T#€ B0$$,@jib0ytheb0ss,"https://pbs.twimg.com/media/FzVQHEEWwAItIuG?format=jpg&name=small, https://pbs.twimg.com/media/FzVQHEEWwAItIuG?format=jpg&name=small",,,,10,https://twitter.com/jib0ytheb0ss/status/1672330921851207681,https://twitter.com/jib0ytheb0ss,,"Jun 23, 2023",2023-06-23T19:48:56.000Z
Browny Kaya,@KayaBrowny,,,,,2,https://twitter.com/KayaBrowny/status/1672331023093211137,https://twitter.com/KayaBrowny,Tu va dégager espèce de meurtrier,"Jun 23, 2023",2023-06-23T19:49:20.000Z
Mdn mdn,@pascal21mdn,,,,,21,https://twitter.com/pascal21mdn/status/1672331197291143170,https://twitter.com/pascal21mdn,New  dette merci macky,"Jun 23, 2023",2023-06-23T19:50:02.000Z
MUZINGA Yasser,@MuzingaYasser,,,,,94,https://twitter.com/MuzingaYasser/status/1672331441949093890,https://twitter.com/MuzingaYasser,Malgré ça pas de 3eme mandat,"Jun 23, 2023",2023-06-23T19:51:00.000Z
ALDOUZE,@aldouze292,,,,,102,https://twitter.com/aldouze292/status/1672331572677165060,https://twitter.com/aldouze292,Ya au qu'un accord signé ni financement. Juste un projet,"Jun 23, 2023",2023-06-23T19:51:32.000Z
Tidjani,@Tidjani49887703,,,,,19,https://twitter.com/Tidjani49887703/status/1672331914542297088,https://twitter.com/Tidjani49887703,Samba alarr,"Jun 23, 2023",2023-06-23T19:52:53.000Z
ousmane sougou koreï,@ousmanesougou,,,,,75,https://twitter.com/ousmanesougou/status/1672332037296979969,https://twitter.com/ousmanesougou,Macky sall tu a nous montre a Ousmane sanko que tu l'homme important la puisant toujour puisant,"Jun 23, 2023",2023-06-23T19:53:22.000Z
Abdoulaye Kando M,@AbdoulayeKandoM,,,,,7,https://twitter.com/AbdoulayeKandoM/status/1672332242562031617,https://twitter.com/AbdoulayeKandoM,Prkoi vs êtes derrière sur l'image ?,"Jun 23, 2023",2023-06-23T19:54:11.000Z
METAL STRENGH,@SoyamFrederic,,,,,5,https://twitter.com/SoyamFrederic/status/1672332497441497091,https://twitter.com/SoyamFrederic,La salleter vendre le senegal au pays cite,"Jun 23, 2023",2023-06-23T19:55:12.000Z
MOHAMED.NGOM,@mo_laye_34,,,,,36,https://twitter.com/mo_laye_34/status/1672332986786750464,https://twitter.com/mo_laye_34,Nul ne peut faire plus de deux mandats consécutifs,"Jun 23, 2023",2023-06-23T19:57:09.000Z
AgaFrampong,@AgaFrampong,,,,,9,https://twitter.com/AgaFrampong/status/1672333027882434562,https://twitter.com/AgaFrampong,la grosse blague sachant que l'Allemagne a réouvert s'est centrale a charbon,"Jun 23, 2023",2023-06-23T19:57:18.000Z
