Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Lisette Mongendu Congo tv,@MongenduTv,"https://pbs.twimg.com/ext_tw_video_thumb/1787896547474083840/pu/img/0gC8NRukThcBvpH8.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787896547474083840/pu/img/0gC8NRukThcBvpH8.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787896547474083840/pu/img/0gC8NRukThcBvpH8.jpg",4,27,,3.4K,https://twitter.com/MongenduTv/status/1787896588997706008,https://twitter.com/MongenduTv,"Nathalie Yambomtutu ne décolère pas. Elle s'attendait à une invitation à l'investiture du Président Bassirou Diomaye Faye et une récompense pour sa contribution à la ( lutte ), malheureusement pour elle Sénégal c'est pas Niger, elle n'aura rien ! Qu'elle se cherche un boulot",May 7,2024-05-07T17:25:38.000Z
Jeune Afrique,@jeune_afrique,"https://pbs.twimg.com/media/GNjCiY6WMAAQXx8?format=jpg&name=small, https://pbs.twimg.com/media/GNjCiY6WMAAQXx8?format=jpg&name=small",1,1,1,462,https://twitter.com/jeune_afrique/status/1790394750014459945,https://twitter.com/jeune_afrique,"Il est le premier chef d’État reçu par Bassirou Diomaye Faye, un peu plus d’un mois après sa prise de fonction. 

Du samedi 11 au lundi 13 mai, Paul Kagame était en visite à Dakar, d’où il s’est ensuite envolé pour Conakry.",5m,2024-05-14T14:52:26.000Z
Djib’riil,@Seydinaa98,"https://pbs.twimg.com/media/GM710ZGXoAAo4vB?format=jpg&name=small, https://pbs.twimg.com/media/GM710ZGXoAAo4vB?format=jpg&name=small",21,231,7,4.5K,https://twitter.com/Seydinaa98/status/1787636404417098166,https://twitter.com/Seydinaa98,"Le Président Bassirou Diomaye Faye attendu à Abidjan, ce mardi.
Svp chers ivoiriens gardez votre marteau",May 7,2024-05-07T00:11:46.000Z
Wisma Putra,@MalaysiaMFA,https://pbs.twimg.com/media/GM4PAPuXQAATaWe?format=jpg&name=small,9,17,,955,https://twitter.com/MalaysiaMFA/status/1787382624715198599,https://twitter.com/MalaysiaMFA,"FM Dato' Seri Utama Haji Mohamad bin Haji Hasan has arrived in Dakar for his Official Visit to Senegal. On his agenda are an audience with Republic of Senegal President H.E. Bassirou Diomaye Diakhar Faye and a meeting with his counterpart, H.E. Yassine Fall. #MalaysiaSenegal",May 6,2024-05-06T07:23:20.000Z
Mamadou NDIAYE,@ndiaye15mamadou,"https://pbs.twimg.com/ext_tw_video_thumb/1789713021561974785/pu/img/5FC5CfrGc6AmLlxm.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789713021561974785/pu/img/5FC5CfrGc6AmLlxm.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789713021561974785/pu/img/5FC5CfrGc6AmLlxm.jpg",49,535,3,9.9K,https://twitter.com/ndiaye15mamadou/status/1789713105632559546,https://twitter.com/ndiaye15mamadou,Président Diomaye Faye Ovationné à Dakar Arena #BAL4  #As douanes vs APR Rwanda #Bal2024,May 12,2024-05-12T17:43:50.000Z
Ly_Citizen,@ly_citizen,"https://pbs.twimg.com/media/GM-g9XJWIAAfqg9?format=jpg&name=360x360, https://pbs.twimg.com/media/GM-g9XJWIAAfqg9?format=jpg&name=360x360",46,609,3,8.1K,https://twitter.com/ly_citizen/status/1787824580414902712,https://twitter.com/ly_citizen,"Le Président de la République, Bassirou Diomaye Faye, a quitté Dakar ce matin en direction d'Abidjan pour entamer la quatrième étape de son agenda diplomatique…",May 7,2024-05-07T12:39:30.000Z
nietzschéen,@Nietzscheiste,https://pbs.twimg.com/ext_tw_video_thumb/1787974607196057600/pu/img/hJXLcx1DiycfwBae.jpg,,1,,111,https://twitter.com/Nietzscheiste/status/1787987263613239649,https://twitter.com/Nietzscheiste,Discours de SEM Bassirou Diomaye Faye en Côte d’Ivoire .,May 7,2024-05-07T23:25:57.000Z
Godbless E.J. Lema,@godbless_lema,"https://pbs.twimg.com/media/GM6RhkLW8AAkMoJ?format=jpg&name=small, https://pbs.twimg.com/media/GM6RhkLW8AAkMoJ?format=jpg&name=small",204,1.6K,116,156K,https://twitter.com/godbless_lema/status/1787526126081921324,https://twitter.com/godbless_lema,"Newly elected Senegalese President Bassirou Diomaye Faye surprised everyone by announcing a very unusual decision: he no longer wants to be greeted by military and civilian authorities at the airport during his official trips. Clearly, he no longer wants formal welcoming…",May 6,2024-05-06T16:53:33.000Z
nietzschéen,@Nietzscheiste,"https://pbs.twimg.com/amplify_video_thumb/1787937262132457472/img/HzFZxU6L5fskWsxY.jpg, https://pbs.twimg.com/amplify_video_thumb/1787937262132457472/img/HzFZxU6L5fskWsxY.jpg, https://pbs.twimg.com/amplify_video_thumb/1787937262132457472/img/HzFZxU6L5fskWsxY.jpg",1,3,,188,https://twitter.com/Nietzscheiste/status/1787937748009054641,https://twitter.com/Nietzscheiste,"Les confidences du Dr Babacar Diop maire de Thies sur la discussion qu'il avait eu avec son Excellence Bassirou Diomaye Diakhar Faye ,quand il était détenu au Cap Manuel, sur les litiges fonciers à Mbour 4!!!",May 7,2024-05-07T20:09:12.000Z
Emb of Malaysia in Dakar,@MYEmbDakar,"https://pbs.twimg.com/media/GNVjnjeWUAAcMwG?format=jpg&name=360x360, https://pbs.twimg.com/media/GNVjnjeWUAAcMwG?format=jpg&name=360x360",2,4,,124,https://twitter.com/MYEmbDakar/status/1789445967785140365,https://twitter.com/MYEmbDakar,"Foreign Minister Dato’ Seri Utama Haji Mohamad bin Haji Hasan, undertook an official visit to Senegal from 6-7 May 2024. YB Foreign Minister met with his counterpart, H.E. Yacine Fall, and had an audience with President of the Republic of , H.E. Bassirou Diomaye Faye.",May 12,2024-05-12T00:02:19.000Z
RASSOUL,@Mouhamed______,https://pbs.twimg.com/media/GM_CHQuWQAAajsQ?format=jpg&name=360x360,22,330,3,5.5K,https://twitter.com/Mouhamed______/status/1787861023107473654,https://twitter.com/Mouhamed______,Les premières images du président de la République du Sénégal Monsieur Bassirou Diomaye Faye et le président de la République de Côte d'Ivoire Monsieur Alassane Ouattara .,May 7,2024-05-07T15:04:19.000Z
Kilifeuu Guii,@AldianaSafara,"https://pbs.twimg.com/media/GNURICeWUAAvfq2?format=jpg&name=small, https://pbs.twimg.com/media/GNURICeWUAAvfq2?format=jpg&name=small",146,1.8K,10,31K,https://twitter.com/AldianaSafara/status/1789355259795472478,https://twitter.com/AldianaSafara,Le Président Rwandais Paul Kagame reçu par son homologue SE Bassirou Diomaye Diakhar Faye,May 11,2024-05-11T18:01:53.000Z
RASSOUL,@Mouhamed______,"https://pbs.twimg.com/media/GM953aJXwAA-S9E?format=jpg&name=360x360, https://pbs.twimg.com/media/GM953aJXwAA-S9E?format=jpg&name=360x360",16,225,,2.1K,https://twitter.com/Mouhamed______/status/1787781606284874045,https://twitter.com/Mouhamed______,"Son Excellence Monsieur Bassirou Diomaye Diakhar Faye a quitté Dakar ce matin en direction d'Abidjan pour entamer la 4ème étape de son agenda diplomatique.

Le Chef de l'État va s'entretenir avec son homologue,SEM Ouattara dans le dessein de consolider les liens d'amitié",May 7,2024-05-07T09:48:44.000Z
Bassirou Diomaye Faye le Président du Sénégal,@DomiayeFaye,"https://pbs.twimg.com/media/GNhTfHFXAAAktdu?format=jpg&name=small, https://pbs.twimg.com/media/GNhTfHFXAAAktdu?format=jpg&name=small",,,,32,https://twitter.com/DomiayeFaye/status/1790272649421008950,https://twitter.com/DomiayeFaye,,8h,2024-05-14T06:47:15.000Z
Presidenceci,@Presidenceci,"https://pbs.twimg.com/media/GM-pqG_WQAAtYd3?format=jpg&name=360x360, https://pbs.twimg.com/media/GM-pqG_WQAAtYd3?format=jpg&name=360x360",49,262,3,10K,https://twitter.com/Presidenceci/status/1787834130794688512,https://twitter.com/Presidenceci,"𝐂𝐨𝐨𝐩é𝐫𝐚𝐭𝐢𝐨𝐧   

Le Vice-Président @Meyliet_KONE a accueilli, ce 7 mai 2024, à l'aéroport international Félix Houphouët-Boigny, le Président de la République du Sénégal, Bassirou Diomaye Faye, qui effectue une visite d'amitié et de travail de 24 h en Côte d'Ivoire.",May 7,2024-05-07T13:17:27.000Z
Ray,@Rahmonade15,https://pbs.twimg.com/media/GNBBh2yWgAAKA6X?format=jpg&name=small,,7,1,287,https://twitter.com/Rahmonade15/status/1788001487806767313,https://twitter.com/Rahmonade15,"""Senegal President Bassirou Diomaye Faye surprised everyone by announcing a very unusual decision. He no longer wants to be greeted by military and civilian authorities at the airport during his official trips.

Clearly, he no longer wants formal welcoming ceremonies. It is a…",May 8,2024-05-08T00:22:28.000Z
Voice of Ghana,@Voice_of_Ghana,https://pbs.twimg.com/media/GNKXc_pWcAALJwX?format=jpg&name=small,12,157,2,5K,https://twitter.com/Voice_of_Ghana/status/1788658532679606635,https://twitter.com/Voice_of_Ghana,"JUST IN

Senegal's  new President Diomaye Faye sets an inspiring example by banning airport ceremonies during his arrival or departure. 

He believes that simple, humble actions can make a significant impact, and hence he will be arriving and departing without any fuss.",May 9,2024-05-09T19:53:20.000Z
Jeune Patriote Panafricain,@Jeune_Activiste,https://pbs.twimg.com/media/GNeFC1gWYAAt9fI?format=jpg&name=small,29,316,5,4.2K,https://twitter.com/Jeune_Activiste/status/1790045669614354728,https://twitter.com/Jeune_Activiste,"Le Président Bassirou Diomaye FAYE annule un décret octroyant des salaires de 1.5 à 2,8 millions aux anciens ministres.
Le Chef de l'État, Bassirou Diomaye FAYE a pris une décision qui ne va pas plaire aux anciens ministres.

Seneweb,",23h,2024-05-13T15:45:19.000Z
BLACK,@KaweBarry,"https://pbs.twimg.com/media/GNhmK2bXAAA8ivM?format=jpg&name=small, https://pbs.twimg.com/media/GNhmK2bXAAA8ivM?format=jpg&name=small",2,7,,200,https://twitter.com/KaweBarry/status/1790293197035294801,https://twitter.com/KaweBarry,"Nul n'est prophète chez soi.
SEM BASSIROU DIOMAYE FAYE et le PM OUSMANE SONKO st entrain de redorer le blason du respect du Sénégal et des Sénégalais perdu depuis belle lurette.
Alors pour ceux qui mangent la mauvaise foi pour survivre,continueront de souffrir au lieu d'être fier",6h,2024-05-14T08:08:54.000Z
@OneNationRadio,@OneNationRadio,"https://pbs.twimg.com/media/GNXCchaXIAAKk75?format=jpg&name=small, https://pbs.twimg.com/media/GNXCchaXIAAKk75?format=jpg&name=small",1,1,,141,https://twitter.com/OneNationRadio3/status/1789550246973812767,https://twitter.com/OneNationRadio3,"#Diplomacy: Pres Paul Kagame arrived in Dakar, Senegal, on Saturday, May 11. 
He was welcomed by host Pres Bassirou Diomaye Faye and several cabinet members. 
During his visit, the 2 Presidents are scheduled to have a private meeting & attend a luncheon hosted by Pres Faye.",May 12,2024-05-12T06:56:41.000Z
É𝐜𝐥𝐚𝐢𝐫𝐬 𝐝’𝐀𝐟𝐫𝐢𝐪𝐮𝐞,@EclairsdAfrique,"https://pbs.twimg.com/ext_tw_video_thumb/1788567467343613952/pu/img/HLPL72TXR7Xh5p9e.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788567467343613952/pu/img/HLPL72TXR7Xh5p9e.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788567467343613952/pu/img/HLPL72TXR7Xh5p9e.jpg",70,311,61,26K,https://twitter.com/EclairsdAfrique/status/1788567515464917390,https://twitter.com/EclairsdAfrique,Professeur Franklin dit ces quatre vérités au président sénégalais Bassirou Diomaye Faye qui joue au même jeu que Macky Sall.,May 9,2024-05-09T13:51:40.000Z
Africa Facts Zone,@AfricaFactsZone,https://pbs.twimg.com/ext_tw_video_thumb/1788505303970971648/pu/img/6NPVhGCP8tHoXY3W.jpg,195,782,39,59K,https://twitter.com/AfricaFactsZone/status/1788505616735998393,https://twitter.com/AfricaFactsZone,"Senegalese people protected their Democracy, and elected 44-year-old Bassirou Diomaye Faye.",May 9,2024-05-09T09:45:42.000Z
Rwanda Broadcasting Agency (RBA),@rbarwanda,"https://pbs.twimg.com/media/GNZJ6sgXMAImszy?format=jpg&name=360x360, https://pbs.twimg.com/media/GNZJ6sgXMAImszy?format=jpg&name=360x360",54,377,3,43K,https://twitter.com/rbarwanda/status/1789699367298847105,https://twitter.com/rbarwanda,"Perezida Kagame uri mu ruzinduko muri Sénégal, yakiriwe na mugenzi we, Bassirou Diomaye Faye, bagirana ibiganiro ku butwererane hagati y’ibihugu byombi.

Perezida Bassirou Diomaye Faye kandi yatumiye mugenzi we ku meza mu gushimangira umubano mwiza n’ubucuti ku mpande zombi.…",May 12,2024-05-12T16:49:14.000Z
